Time, X, Y, Z
3.133333,0.03854,1.249649,0.366916
3.141667,0.038642,1.249565,0.367273
3.15,0.038742,1.249515,0.367601
3.158333,0.038841,1.249471,0.36793
3.166667,0.038953,1.249425,0.368254
3.175,0.039061,1.249398,0.368562
3.183333,0.039182,1.249384,0.368827
3.191667,0.039326,1.249357,0.369094
3.2,0.0395,1.249346,0.369353
3.208333,0.039726,1.249316,0.369575
3.216667,0.039952,1.249296,0.369774
3.225,0.04022,1.249249,0.369978
3.233333,0.040471,1.249199,0.370135
3.241667,0.040765,1.249146,0.37027
3.25,0.041075,1.249089,0.370417
3.258333,0.0414,1.24902,0.370564
3.266667,0.041701,1.248985,0.370673
3.275,0.042008,1.248972,0.370765
3.283333,0.042302,1.248965,0.370884
3.291667,0.042665,1.248945,0.370952
3.3,0.042976,1.248907,0.371016
3.308333,0.043266,1.248893,0.371057
3.316667,0.043558,1.248873,0.371079
3.325,0.043791,1.248853,0.371081
3.333333,0.04398,1.24884,0.371055
3.341667,0.04412,1.248822,0.371015
3.35,0.04421,1.248816,0.370931
3.358333,0.044257,1.24879,0.37083
3.366667,0.044262,1.248788,0.370692
3.375,0.044221,1.248773,0.37054
3.383333,0.04416,1.248763,0.37036
3.391667,0.04407,1.248761,0.370166
3.4,0.043948,1.248765,0.369934
3.408333,0.043814,1.248755,0.369707
3.416667,0.043656,1.248756,0.369433
3.425,0.04347,1.248732,0.369185
3.433333,0.043287,1.248703,0.368951
3.441667,0.04307,1.248671,0.368678
3.45,0.04286,1.248633,0.368401
3.458333,0.042623,1.248596,0.368095
3.466667,0.042362,1.248567,0.367775
3.475,0.042087,1.248531,0.367464
3.483333,0.041821,1.248499,0.367174
3.491667,0.041551,1.248427,0.366903
3.5,0.041254,1.248361,0.366625
3.508333,0.040956,1.248338,0.366317
3.516667,0.040636,1.248312,0.365987
3.525,0.040318,1.248273,0.365664
3.533333,0.040023,1.248262,0.365358
3.541667,0.039712,1.248245,0.365021
3.55,0.039391,1.248233,0.364735
3.558333,0.039062,1.248213,0.364415
3.566667,0.038703,1.24824,0.364044
3.575,0.038344,1.248268,0.363694
3.583333,0.037928,1.248309,0.363333
3.591667,0.037549,1.248319,0.362979
3.6,0.037092,1.248339,0.362579
3.608333,0.036632,1.24835,0.362171
3.616667,0.036179,1.24836,0.361781
3.625,0.035732,1.248355,0.361414
3.633333,0.035252,1.248343,0.361036
3.641667,0.03475,1.248339,0.360609
3.65,0.034227,1.24837,0.360203
3.658333,0.033724,1.248413,0.35979
3.666667,0.033223,1.248431,0.359387
3.675,0.032665,1.248447,0.358915
3.683333,0.03212,1.24851,0.358449
3.691667,0.031624,1.248543,0.35807
3.7,0.031091,1.24857,0.357708
3.708333,0.030522,1.248607,0.357332
3.716667,0.030005,1.248652,0.356946
3.725,0.029527,1.248694,0.356614
3.733333,0.029042,1.248749,0.356278
3.741667,0.02856,1.248779,0.355931
3.75,0.028075,1.248834,0.355597
3.758333,0.027621,1.248888,0.355305
3.766667,0.02719,1.248928,0.355046
3.775,0.026737,1.248948,0.35479
3.783333,0.026279,1.248987,0.354498
3.791667,0.02583,1.248963,0.354216
3.8,0.025432,1.248937,0.353956
3.808333,0.025038,1.248877,0.353701
3.816667,0.024657,1.248816,0.353445
3.825,0.024257,1.248762,0.353186
3.833333,0.023863,1.248701,0.352937
3.841667,0.023493,1.248661,0.352713
3.85,0.02316,1.24864,0.352528
3.858333,0.02284,1.248592,0.352353
3.866667,0.022464,1.24855,0.352182
3.875,0.022123,1.248518,0.35202
3.883333,0.021725,1.248488,0.351826
3.891667,0.021341,1.248454,0.351681
3.9,0.020958,1.248422,0.351484
3.908333,0.020609,1.24839,0.351332
3.916667,0.020249,1.248346,0.35118
3.925,0.019904,1.248311,0.351016
3.933333,0.019561,1.248272,0.350846
3.941667,0.0192,1.24825,0.350648
3.95,0.01887,1.248225,0.350503
3.958333,0.018533,1.248205,0.350349
3.966667,0.018208,1.248191,0.350209
3.975,0.017889,1.248127,0.35011
3.983333,0.017566,1.248046,0.349994
3.991667,0.017275,1.247945,0.349891
4.0,0.01697,1.247855,0.349777
4.008333,0.016653,1.247759,0.349659
4.016667,0.016336,1.247672,0.349527
4.025,0.016033,1.24759,0.34939
4.033333,0.015718,1.247537,0.34925
4.041667,0.015431,1.247492,0.349113
4.05,0.015162,1.247465,0.349001
4.058333,0.014883,1.247454,0.348901
4.066667,0.014603,1.247448,0.348824
4.075,0.014316,1.247458,0.34875
4.083333,0.014019,1.247474,0.348664
4.091667,0.013707,1.247469,0.348582
4.1,0.013413,1.247467,0.348518
4.108333,0.013114,1.247453,0.348436
4.116667,0.012825,1.247439,0.348362
4.125,0.012526,1.247424,0.348291
4.133333,0.012224,1.247397,0.348218
4.141667,0.011916,1.247379,0.348132
4.15,0.011624,1.247357,0.348051
4.158333,0.011332,1.247326,0.347975
4.166667,0.01104,1.24733,0.347886
4.175,0.010768,1.247335,0.347812
4.183333,0.010522,1.247344,0.347756
4.191667,0.01029,1.24736,0.347704
4.2,0.010069,1.247393,0.347642
4.208333,0.009858,1.247404,0.347617
4.216667,0.009682,1.247416,0.347588
4.225,0.009521,1.247418,0.347589
4.233333,0.009362,1.247421,0.347612
4.241667,0.009216,1.247423,0.347633
4.25,0.009047,1.247432,0.347657
4.258333,0.008886,1.24744,0.347668
4.266667,0.008714,1.247463,0.347669
4.275,0.008555,1.247481,0.347673
4.283333,0.00841,1.247523,0.347677
4.291667,0.008254,1.247549,0.347691
4.3,0.008113,1.247589,0.347696
4.308333,0.007972,1.247622,0.34771
4.316667,0.007852,1.247646,0.347713
4.325,0.007743,1.247662,0.347734
4.333333,0.007667,1.247674,0.34774
4.341667,0.007578,1.247681,0.347776
4.35,0.007499,1.247688,0.347798
4.358333,0.007442,1.247696,0.347831
4.366667,0.007382,1.247711,0.347859
4.375,0.007352,1.247712,0.347901
4.383333,0.007306,1.247726,0.34794
4.391667,0.007267,1.247733,0.347985
4.4,0.007226,1.247737,0.348033
4.408333,0.007174,1.247732,0.348075
4.416667,0.00713,1.247723,0.348127
4.425,0.007097,1.247709,0.348171
4.433333,0.007068,1.247693,0.348207
4.441667,0.007066,1.247672,0.348253
4.45,0.007069,1.247654,0.348304
4.458333,0.007085,1.247635,0.348361
4.466667,0.0071,1.247634,0.348421
4.475,0.007138,1.247609,0.348486
4.483333,0.007177,1.247613,0.348558
4.491667,0.007224,1.247607,0.348632
4.5,0.007276,1.247604,0.3487
4.508333,0.007326,1.247594,0.348774
4.516667,0.007375,1.247582,0.348858
4.525,0.007431,1.247575,0.348943
4.533333,0.007493,1.247562,0.34902
4.541667,0.007565,1.247546,0.349092
4.55,0.007636,1.247535,0.349177
4.558333,0.007716,1.247524,0.349261
4.566667,0.007808,1.24753,0.349344
4.575,0.007903,1.247532,0.349425
4.583333,0.007998,1.247531,0.349507
4.591667,0.008091,1.247536,0.349582
4.6,0.008199,1.247541,0.349666
4.608333,0.008298,1.247549,0.349724
4.616667,0.008395,1.247554,0.349786
4.625,0.008492,1.247554,0.34985
4.633333,0.008551,1.247558,0.349897
4.641667,0.008613,1.247556,0.349943
4.65,0.00866,1.247566,0.349989
4.658333,0.008697,1.247576,0.350038
4.666667,0.008731,1.247578,0.350065
4.675,0.008765,1.247592,0.350104
4.683333,0.008779,1.247594,0.350141
4.691667,0.008802,1.2476,0.350173
4.7,0.008829,1.247602,0.350178
4.708333,0.008859,1.247598,0.350196
4.716667,0.008903,1.247594,0.350199
4.725,0.00895,1.247581,0.350215
4.733333,0.008989,1.247577,0.350224
4.741667,0.009029,1.247566,0.35024
4.75,0.009047,1.247567,0.350253
4.758333,0.009058,1.247578,0.350259
4.766667,0.009061,1.247569,0.350257
4.775,0.009069,1.247567,0.350234
4.783333,0.009075,1.247558,0.350197
4.791667,0.009071,1.247539,0.350162
4.8,0.009064,1.24753,0.350116
4.808333,0.009045,1.247514,0.350051
4.816667,0.009031,1.247496,0.34997
4.825,0.009008,1.247477,0.349882
4.833333,0.008954,1.247452,0.349807
4.841667,0.008904,1.247432,0.349731
4.85,0.008846,1.247414,0.349657
4.858333,0.008757,1.247408,0.349568
4.866667,0.00868,1.247406,0.34948
4.875,0.008577,1.247372,0.349376
4.883333,0.008471,1.247355,0.349275
4.891667,0.008355,1.247328,0.349176
4.9,0.008241,1.247324,0.349071
4.908333,0.008102,1.247325,0.34898
4.916667,0.00796,1.247334,0.348915
4.925,0.007808,1.247356,0.348848
4.933333,0.007648,1.247391,0.348786
4.941667,0.007465,1.247434,0.34872
4.95,0.007284,1.247488,0.348633
4.958333,0.007071,1.247541,0.348531
4.966667,0.006882,1.24758,0.348455
4.975,0.006692,1.247633,0.348341
4.983333,0.00647,1.247672,0.348232
4.991667,0.006259,1.247712,0.348101
5.0,0.006029,1.247752,0.347937
5.008333,0.005801,1.247794,0.347745
5.016667,0.005583,1.247854,0.347521
5.025,0.005373,1.247943,0.347241
5.033333,0.005169,1.248031,0.346944
5.041667,0.004964,1.248138,0.346648
5.05,0.004722,1.24827,0.346351
5.058333,0.004482,1.248382,0.346046
5.066667,0.004245,1.248526,0.345681
5.075,0.004033,1.248664,0.345331
5.083333,0.003847,1.248784,0.344974
5.091667,0.003646,1.248895,0.344601
5.1,0.003457,1.249001,0.344196
5.108333,0.003285,1.249115,0.343792
5.116667,0.003097,1.249214,0.343392
5.125,0.002954,1.249313,0.343016
5.133333,0.002817,1.249393,0.342638
5.141667,0.002688,1.249491,0.34219
5.15,0.002527,1.249604,0.341686
5.158333,0.002344,1.249722,0.341143
5.166667,0.002175,1.249859,0.340619
5.175,0.002015,1.250027,0.340071
5.183333,0.001839,1.250273,0.339389
5.191667,0.001576,1.25059,0.33853
5.2,0.001255,1.250956,0.337616
5.208333,8.57E-4,1.251443,0.336572
5.216667,2.66E-4,1.251985,0.335276
5.225,-4.6E-4,1.252582,0.333937
5.233333,-0.00136,1.253213,0.332337
5.241667,-0.002444,1.253772,0.330695
5.25,-0.003706,1.254197,0.32887
5.258333,-0.005154,1.254477,0.327003
5.266667,-0.006696,1.254503,0.325226
5.275,-0.008255,1.254396,0.323413
5.283333,-0.009793,1.254054,0.321697
5.291667,-0.011197,1.253688,0.319977
5.3,-0.012399,1.253145,0.31845
5.308333,-0.013383,1.252721,0.317016
5.316667,-0.014083,1.25236,0.315747
